Voltage (V)_x,Voltage (V)_y,Current (A)_x,Current (A)_y
1747892988.297141,50.001,1747892988.297141,0.001
1747892989.24979,50.001,1747892989.24979,0.001
1747892990.241822,50.001,1747892990.241822,0.001
1747892991.243165,50.,1747892991.243165,0.001
1747892992.242575,50.001,1747892992.242575,0.001
1747892993.242414,50.,1747892993.242414,0.001
1747892994.242727,50.001,1747892994.242727,0.001
1747892995.241776,50.,1747892995.241776,0.001
1747892996.242589,50.,1747892996.242589,0.001
1747892997.242869,50.001,1747892997.242869,0.001
1747892998.242937,50.,1747892998.242937,0.001
1747892999.241292,50.,1747892999.241292,0.001
1747893000.242071,50.,1747893000.242071,0.001
1747893001.241369,50.,1747893001.241369,0.001
1747893002.241684,50.001,1747893002.241684,0.001
1747893003.241954,50.001,1747893003.241954,0.001
1747893004.243476,50.001,1747893004.243476,0.001
1747893005.242611,50.001,1747893005.242611,0.001
1747893006.242324,50.001,1747893006.242324,0.001
1747893007.242403,50.001,1747893007.242403,0.001
1747893008.242532,50.001,1747893008.242532,0.001
1747893009.242492,50.001,1747893009.242492,0.001
1747893010.241146,50.001,1747893010.241146,0.001
1747893011.242633,50.001,1747893011.242633,0.001
1747893012.242005,50.,1747893012.242005,0.001
1747893013.552602,50.001,1747893013.552602,0.001
1747893014.242124,50.001,1747893014.242124,0.001
1747893015.242238,50.001,1747893015.242238,0.001
1747893016.24229,50.001,1747893016.24229,0.001
1747893017.241408,50.001,1747893017.241408,0.001
1747893018.242333,50.001,1747893018.242333,0.001
1747893019.242658,50.,1747893019.242658,0.001
1747893020.242229,50.,1747893020.242229,0.001
1747893021.242469,50.001,1747893021.242469,0.001
1747893022.242477,50.001,1747893022.242477,0.001
1747893023.241745,50.001,1747893023.241745,0.001
1747893024.241416,50.001,1747893024.241416,0.001
1747893025.479177,50.,1747893025.479177,0.001
1747893026.241017,50.001,1747893026.241017,0.001
1747893027.241534,50.,1747893027.241534,0.001
1747893028.24186,50.001,1747893028.24186,0.001
1747893029.241715,50.001,1747893029.241715,0.001
1747893030.241096,50.001,1747893030.241096,0.001
1747893031.241469,50.001,1747893031.241469,0.001
1747893032.242245,50.001,1747893032.242245,0.001
1747893033.242359,50.,1747893033.242359,0.001
1747893034.242194,50.001,1747893034.242194,0.001
1747893035.242347,50.001,1747893035.242347,0.001
1747893036.242108,50.001,1747893036.242108,0.001
1747893037.242501,50.001,1747893037.242501,0.001
1747893038.24296,50.001,1747893038.24296,0.001
1747893039.244252,50.001,1747893039.244252,0.001
1747893040.24228,50.001,1747893040.24228,0.001
1747893041.242583,50.001,1747893041.242583,0.001
1747893042.242064,50.001,1747893042.242064,0.001
1747893043.241805,50.001,1747893043.241805,0.001
1747893044.242023,50.,1747893044.242023,0.001
1747893045.241363,50.,1747893045.241363,0.001
1747893046.242214,50.001,1747893046.242214,0.001
1747893047.243106,50.001,1747893047.243106,0.001
1747893048.243242,50.001,1747893048.243242,0.001
1747893049.242082,50.001,1747893049.242082,0.001
1747893050.243381,50.,1747893050.243381,0.001
1747893051.242571,50.001,1747893051.242571,0.001
1747893052.241837,50.001,1747893052.241837,0.001
1747893053.242477,50.001,1747893053.242477,0.001
1747893054.242639,50.001,1747893054.242639,0.001
1747893055.242728,50.001,1747893055.242728,0.001
1747893056.242524,50.001,1747893056.242524,0.001
1747893057.241962,50.001,1747893057.241962,0.001
1747893058.242035,50.001,1747893058.242035,0.001
1747893059.241948,50.,1747893059.241948,0.001
1747893060.201825,50.001,1747893060.201825,0.001
1747893061.24226,50.001,1747893061.24226,0.001
1747893062.242528,50.001,1747893062.242528,0.001
1747893063.242081,50.001,1747893063.242081,0.001
1747893064.241966,50.001,1747893064.241966,0.001
1747893065.242199,50.001,1747893065.242199,0.001
1747893066.241215,50.001,1747893066.241215,0.001
1747893067.242342,50.001,1747893067.242342,0.001
1747893068.242395,50.001,1747893068.242395,0.001
1747893069.24236,50.001,1747893069.24236,0.001
1747893070.241494,50.001,1747893070.241494,0.001
1747893071.241857,50.001,1747893071.241857,0.001
1747893072.202494,50.001,1747893072.202494,0.001
1747893073.242283,50.001,1747893073.242283,0.001
1747893074.242488,50.001,1747893074.242488,0.001
1747893075.243276,50.001,1747893075.243276,0.001
1747893076.24221,50.001,1747893076.24221,0.001
1747893077.20218,50.001,1747893077.20218,0.001
1747893078.241709,50.001,1747893078.241709,0.001
1747893079.242092,50.001,1747893079.242092,0.001
1747893080.242204,50.001,1747893080.242204,0.001
1747893081.202964,50.,1747893081.202964,0.001
1747893082.243463,50.001,1747893082.243463,0.001
1747893083.241315,50.001,1747893083.241315,0.001
1747893084.243496,50.001,1747893084.243496,0.001
1747893085.244155,50.001,1747893085.244155,0.001
1747893086.202414,50.001,1747893086.202414,0.001
1747893087.242648,50.,1747893087.242648,0.001
1747893088.24181,50.001,1747893088.24181,0.001
1747893089.242956,50.001,1747893089.242956,0.001
1747893090.24185,50.001,1747893090.24185,0.001
1747893091.241753,50.001,1747893091.241753,0.001
1747893092.243123,50.001,1747893092.243123,0.001
1747893093.242175,50.001,1747893093.242175,0.001
1747893094.242557,50.001,1747893094.242557,0.001
1747893095.241374,50.001,1747893095.241374,0.001
1747893096.242476,50.001,1747893096.242476,0.001
1747893097.242572,50.001,1747893097.242572,0.001
1747893098.203237,50.001,1747893098.203237,0.001
1747893099.241037,50.001,1747893099.241037,0.001
1747893100.241767,50.,1747893100.241767,0.001
1747893101.241938,50.001,1747893101.241938,0.001
1747893102.242417,50.,1747893102.242417,0.001
1747893103.24196,50.,1747893103.24196,0.001
1747893104.242284,50.001,1747893104.242284,0.001
1747893105.242071,50.001,1747893105.242071,0.001
1747893106.241968,50.001,1747893106.241968,0.001
1747893107.242184,50.001,1747893107.242184,0.001
1747893108.242067,50.001,1747893108.242067,0.001
1747893109.242486,50.,1747893109.242486,0.001
1747893110.242115,50.,1747893110.242115,0.001
1747893111.241917,50.001,1747893111.241917,0.001
1747893112.241391,50.001,1747893112.241391,0.001
1747893113.240932,50.001,1747893113.240932,0.001
1747893114.242971,50.001,1747893114.242971,0.001
1747893115.24146,50.001,1747893115.24146,0.001
1747893116.241227,50.001,1747893116.241227,0.001
1747893117.242397,50.001,1747893117.242397,0.001
1747893118.204427,50.001,1747893118.204427,0.001
1747893119.242352,50.001,1747893119.242352,0.001
1747893120.241901,50.001,1747893120.241901,0.001
1747893121.241414,50.001,1747893121.241414,0.001
1747893122.259463,50.001,1747893122.259463,0.001
1747893123.240677,50.001,1747893123.240677,0.001
1747893124.242528,50.001,1747893124.242528,0.001
1747893125.240851,50.001,1747893125.240851,0.001
1747893126.242593,50.,1747893126.242593,0.001
1747893127.24257,50.001,1747893127.24257,0.001
1747893128.242962,50.001,1747893128.242962,0.001
1747893129.241682,50.001,1747893129.241682,0.001
1747893130.242193,50.001,1747893130.242193,0.001
1747893131.242842,50.001,1747893131.242842,0.001
1747893132.241985,50.001,1747893132.241985,0.001
1747893133.242022,50.001,1747893133.242022,0.001
1747893134.24163,50.001,1747893134.24163,0.001
1747893135.241859,50.001,1747893135.241859,0.001
1747893136.24235,50.001,1747893136.24235,0.001
1747893137.241397,50.001,1747893137.241397,0.001
1747893138.242588,50.001,1747893138.242588,0.001
1747893139.242463,50.001,1747893139.242463,0.001
1747893140.242814,50.001,1747893140.242814,0.001
1747893141.242081,50.001,1747893141.242081,0.001
1747893142.242201,50.001,1747893142.242201,0.001
1747893143.24271,50.001,1747893143.24271,0.001
1747893144.242015,50.001,1747893144.242015,0.001
1747893145.241473,50.001,1747893145.241473,0.001
1747893146.242824,50.001,1747893146.242824,0.001
1747893147.242307,50.001,1747893147.242307,0.001
